"Organic compounds"	"Alkaloids and derivatives"	"Benzenoids"	"Lignans, neolignans and related compounds"	"Lipids and lipid-like molecules"	"Nucleosides, nucleotides, and analogues"	"Organic 1,3-dipolar compounds"	"Organic acids and derivatives"	"Organic nitrogen compounds"	"Organic oxygen compounds"	"Organohalogen compounds"	"Organoheterocyclic compounds"	"Organosulfur compounds"	"Phenylpropanoids and polyketides"	"Corynanthean-type alkaloids"	"Ergoline and derivatives"	"Lupin alkaloids"	"Anthracenes"	"Benzene and substituted derivatives"	"Naphthalenes"	"Phenol ethers"	"Phenols"	"Furanoid lignans"	"Lignan glycosides"	"Lignan lactones"	"Fatty Acyls"	"Glycerophospholipids"	"Prenol lipids"	"Saccharolipids"	"Steroids and steroid derivatives"	"5-5-dinucleotides"	"5-deoxyribonucleosides"	"Purine nucleosides"	"Purine nucleotides"	"Pyrimidine nucleosides"	"Pyrimidine nucleotides"	"Allyl-type 1,3-dipolar organic compounds"	"Carboxylic acids and derivatives"	"Hydroxy acids and derivatives"	"Keto acids and derivatives"	"Organic phosphonic acids and derivatives"	"Organic phosphoric acids and derivatives"	"Organic sulfonic acids and derivatives"	"Organic sulfuric acids and derivatives"	"Peptidomimetics"	"Organonitrogen compounds"	"Organooxygen compounds"	"Aryl halides"	"Azaphilones"	"Azoles"	"Benzimidazoles"	"Benzodiazepines"	"Benzodioxoles"	"Benzopyrans"	"Benzothiazines"	"Benzothiophenes"	"Biotin and derivatives"	"Diazanaphthalenes"	"Diazinanes"	"Diazines"	"Dioxepanes"	"Dithiolanes"	"Imidazopyrimidines"	"Indoles and derivatives"	"Isoindoles and derivatives"	"Isoquinolines and derivatives"	"Naphthopyrans"	"Oxanes"	"Oxepanes"	"Pteridines and derivatives"	"Pyridines and derivatives"	"Pyrroles"	"Quinolines and derivatives"	"Tetrahydroisoquinolines"	"Tetrapyrroles and derivatives"	"Thienopyrimidines"	"Thioethers"	"2-arylbenzofuran flavonoids"	"Anthracyclines"	"Cinnamic acids and derivatives"	"Coumarins and derivatives"	"Depsides and depsidones"	"Diarylheptanoids"	"Flavonoids"	"Isoflavonoids"	"Linear 1,3-diarylpropanoids"	"Macrolactams"	"Tannins"	"Tetracyclines"
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int3_RC4_1_11944"	493	1	88	13	36	10	3	165	5	57	1	55	1	58	1	0	0	1	67	3	2	10	1	5	1	12	1	19	0	1	3	1	2	4	0	0	3	158	2	1	0	1	1	2	0	5	57	1	0	1	1	0	2	7	0	0	0	0	1	5	1	3	8	11	4	1	3	0	0	2	2	1	1	0	0	1	1	1	0	4	0	0	1	50	1	0	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int4_BC2_1_11994"	565	2	84	15	41	13	3	212	6	59	1	62	2	65	2	0	0	1	66	3	2	8	1	5	1	10	3	23	0	3	3	2	3	4	0	1	3	203	2	1	1	1	2	2	0	6	59	1	1	5	1	0	3	7	0	1	2	0	2	4	1	3	9	10	2	1	3	0	0	1	2	1	1	0	0	2	2	1	0	7	1	0	1	52	1	0	0	0	2
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int5_RA7_1_11928"	483	2	65	16	39	10	2	179	6	56	1	54	1	52	2	0	0	1	52	2	2	5	2	5	1	13	1	19	1	2	3	1	3	3	0	0	2	175	1	1	0	0	1	1	0	6	56	1	1	1	1	0	4	6	0	1	0	0	1	3	0	3	9	9	3	1	3	1	0	2	1	1	1	0	0	2	1	1	0	3	2	0	1	41	2	1	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Int6_GB1_1_12034"	580	4	86	13	47	11	3	210	3	72	1	59	1	70	4	0	0	1	62	6	4	9	1	5	0	15	2	26	0	3	2	1	2	5	0	1	3	204	2	1	0	1	1	1	0	3	72	1	1	4	2	0	2	6	0	1	2	0	1	5	0	3	10	11	1	0	2	0	0	1	4	0	1	0	0	2	1	1	0	8	2	0	1	54	2	1	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd1_GA5_1_12030"	609	3	93	15	49	9	3	220	6	72	1	71	1	66	3	0	0	1	68	7	5	8	2	6	1	18	3	22	1	3	2	1	1	4	0	1	3	212	2	0	0	1	3	2	0	6	72	1	1	5	1	0	4	8	0	1	1	0	3	5	0	3	12	11	2	1	2	0	0	2	3	2	1	1	0	2	1	0	0	4	2	0	1	54	2	1	0	0	2
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd2_BD6_1_12009"	560	3	83	13	42	12	4	211	5	68	1	54	2	62	3	0	0	2	60	5	5	7	1	3	1	13	2	23	0	2	3	2	4	2	0	1	4	203	2	1	1	1	2	1	0	5	68	1	1	6	1	0	3	6	0	1	2	0	2	3	1	2	5	11	2	0	3	0	0	1	3	0	0	0	0	1	2	2	0	5	0	0	1	50	2	1	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd3_GA3_1_12028"	617	4	93	18	47	12	2	229	4	75	1	64	1	67	4	0	0	1	68	5	4	11	1	6	1	17	3	22	1	2	2	1	4	3	0	2	2	221	2	1	1	1	1	1	1	4	75	1	1	4	1	0	4	10	0	1	2	0	1	5	0	3	9	11	3	1	2	0	0	1	3	0	1	0	0	1	1	1	0	7	3	0	1	51	2	1	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd4_RB6_1_11938"	586	4	83	14	46	8	3	210	7	74	1	69	1	66	4	0	0	0	60	5	4	10	2	5	0	14	3	24	0	3	2	0	2	3	0	1	3	201	2	1	0	1	3	2	0	7	74	1	2	6	1	0	3	9	0	1	2	0	1	5	1	3	12	11	3	1	2	0	0	2	2	1	0	0	0	1	1	1	0	8	3	0	1	50	2	1	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Esccal_Rd5_BC3_1_11995"	604	2	82	19	51	12	1	224	6	69	1	71	1	65	2	0	0	1	63	5	3	7	2	6	1	21	3	21	1	2	2	2	3	4	0	1	1	217	1	1	1	1	3	0	0	6	69	1	1	7	1	0	5	9	0	1	1	0	1	5	0	3	11	11	2	0	3	1	0	2	2	0	1	2	0	2	1	0	0	8	2	0	1	49	3	1	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int1_BE1_1_12015"	554	4	77	14	50	12	2	224	3	70	1	49	2	46	3	1	0	1	52	8	3	10	2	3	0	18	2	24	0	2	2	1	2	6	0	1	2	213	3	0	1	2	2	2	1	3	70	1	1	3	3	0	2	3	0	1	1	0	2	7	0	0	6	8	0	0	2	0	0	2	3	0	2	1	0	2	2	3	0	8	0	0	1	32	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Int2_BE5_1_12019"	456	1	80	12	45	8	1	160	4	66	0	43	0	36	1	0	0	1	59	6	4	6	2	4	0	14	1	24	0	3	2	0	2	4	0	0	1	150	1	1	1	2	1	3	1	4	66	0	1	1	4	0	3	2	0	1	3	0	2	4	0	0	4	8	0	0	4	1	0	2	1	1	0	0	0	1	0	1	0	8	0	1	1	24	1	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd2_BB2_1_11983"	670	3	91	17	45	14	1	250	10	98	1	61	1	78	3	0	0	2	55	10	10	8	1	8	0	13	1	25	0	4	5	2	3	4	0	0	1	236	3	1	0	2	4	3	1	10	98	1	2	3	1	0	2	6	0	1	3	0	3	7	1	0	5	9	1	1	4	1	0	2	3	1	1	0	0	4	1	2	1	10	2	3	1	57	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd3_RD3_1_11954"	563	2	87	14	44	13	1	201	6	87	1	53	3	51	2	0	0	1	62	7	7	6	1	6	0	16	2	21	0	3	3	2	3	5	0	0	1	191	3	1	1	1	2	1	1	6	87	1	1	2	2	0	1	5	0	1	4	0	2	6	0	0	7	9	0	1	5	0	0	2	2	1	0	0	0	2	3	2	0	11	2	2	0	32	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd4_GE4_1_12070"	552	2	82	14	48	13	2	199	6	79	0	54	0	53	2	0	0	1	55	10	3	9	1	7	0	16	1	25	0	4	3	0	4	6	0	0	2	194	1	0	1	2	0	0	1	6	79	0	1	2	2	0	3	4	0	1	4	0	3	5	0	0	7	11	1	0	5	1	0	1	1	1	0	0	0	1	0	0	1	9	1	2	1	37	1	0	1	0	0
"neg_DANCE_RDvsIR_2021_EM_Hedrha_Rd5_GC2_1_12046"	503	1	77	14	51	13	1	179	3	70	0	46	1	47	1	0	0	1	57	5	1	8	2	7	0	16	1	27	0	4	4	0	4	5	0	0	1	171	2	1	1	3	0	0	1	3	70	0	1	2	1	0	1	3	1	1	3	0	4	6	1	0	5	8	1	0	3	1	0	1	1	1	0	0	0	1	1	2	0	10	1	2	0	30	1	0	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int1_BA7_1_11980"	675	1	98	9	49	22	2	256	9	74	3	56	2	94	1	0	0	3	67	6	7	12	2	3	1	12	1	31	0	3	5	2	6	7	0	2	2	238	0	8	1	2	6	1	0	9	74	3	1	3	0	1	1	7	0	1	2	1	2	5	0	0	6	10	2	1	3	0	0	2	1	1	1	1	0	4	2	3	0	12	2	0	1	72	4	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Int2_GE5_1_12071"	690	2	108	14	52	20	2	241	10	88	3	59	2	89	2	0	0	3	81	7	4	10	2	5	1	12	2	36	0	1	4	1	7	5	1	2	2	229	1	6	0	0	3	1	1	10	88	3	1	2	0	0	2	6	0	1	2	1	2	8	0	0	6	11	2	1	3	0	0	3	1	0	1	1	0	5	2	1	0	7	1	0	0	75	4	0	0	1	0
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd2_RE5_1_11967"	557	1	86	9	31	17	1	215	6	63	2	50	1	75	1	0	0	2	64	6	2	9	1	5	1	8	0	20	0	1	3	1	6	5	0	2	1	201	1	6	1	1	3	2	0	6	63	2	1	1	0	1	2	10	0	1	1	1	1	4	0	0	7	7	1	1	2	0	0	1	1	1	1	1	0	4	1	2	0	15	0	0	1	54	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Hyphir_Rd3_RE7_1_11969"	694	1	100	11	54	21	2	253	8	74	4	66	2	98	1	0	0	3	68	9	4	13	1	5	1	11	0	37	1	2	6	1	8	4	1	1	2	238	2	6	0	1	5	1	0	8	74	4	1	2	0	1	4	8	1	1	5	1	1	6	0	0	10	7	2	1	5	0	0	3	0	1	1	1	0	4	2	3	0	10	2	0	1	77	4	0	0	1	0
"neg_DANCE_RDvsIR_2021_EM_Klener_Int1_BB3_1_11987"	442	3	64	5	48	7	1	183	6	48	1	40	4	32	3	0	0	0	45	4	3	9	1	2	0	16	3	23	0	3	1	1	3	2	0	0	1	172	3	0	1	1	2	4	0	6	48	1	2	1	1	0	2	5	0	1	0	0	1	6	0	0	2	8	3	1	2	0	0	2	1	1	0	0	0	1	4	1	0	6	1	0	0	23	0	1	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Klener_Int2_BB1_1_11982"	553	3	84	7	49	8	1	220	11	67	1	50	3	49	3	0	0	2	56	7	5	11	1	4	0	18	3	23	0	2	2	1	2	3	0	0	1	207	1	1	1	1	3	5	1	11	67	1	1	3	1	0	2	4	0	1	0	0	4	6	0	0	4	12	2	0	2	0	0	1	1	1	2	0	0	3	3	2	0	8	2	0	1	34	1	1	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd1_GC4_1_12048"	557	2	83	5	56	6	2	230	8	55	1	53	3	53	2	0	0	0	54	8	6	11	1	2	0	18	4	26	0	3	1	1	1	3	0	0	2	216	4	0	1	2	3	3	1	8	55	1	3	2	0	0	2	5	0	1	0	0	1	7	0	0	5	12	1	1	5	1	0	2	1	1	1	0	0	2	3	3	0	10	1	0	1	35	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd2_RE4_1_11966"	563	2	79	7	54	5	2	232	8	62	1	51	2	58	2	0	0	2	51	8	2	14	1	4	0	17	3	26	0	4	1	1	2	1	0	0	2	216	3	2	1	2	4	4	0	8	62	1	3	2	1	0	2	2	0	1	1	0	1	8	0	0	5	11	2	1	3	0	0	2	1	1	1	0	0	3	2	3	0	8	1	0	1	42	1	2	0	0	0
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd3_BC4_1_11996"	532	3	81	9	40	11	0	213	9	67	1	46	3	49	3	0	0	0	52	8	6	11	1	3	0	15	1	18	0	2	2	2	3	4	0	0	0	200	2	2	1	1	3	4	0	9	67	1	0	2	1	0	2	3	0	0	2	0	3	7	0	1	4	8	1	0	5	0	0	1	1	1	1	0	0	3	3	2	0	10	1	0	1	30	2	2	0	0	1
"neg_DANCE_RDvsIR_2021_EM_Klener_Rd4_BD7_1_12013"	197	2	38	4	17	5	1	78	2	19	0	20	1	10	2	0	0	1	26	2	2	5	1	2	0	13	0	2	0	1	1	2	0	1	0	1	1	68	1	3	0	1	2	3	0	2	19	0	0	1	0	0	1	2	0	1	1	0	0	2	0	0	3	5	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	3	0	0	1	5	1	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int1_GD2_1_12057"	1029	6	135	21	108	20	3	397	12	126	1	97	2	101	5	1	0	3	92	10	14	11	4	8	1	21	4	63	1	15	3	3	3	10	0	1	3	381	2	0	1	2	4	5	2	12	126	1	3	5	2	1	1	4	5	1	4	1	3	9	0	0	11	16	3	1	6	1	5	3	4	1	2	1	1	3	2	3	0	19	3	0	4	63	5	2	1	0	1
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Int2_RD6_1_11957"	896	6	128	20	92	19	2	351	11	100	1	84	1	81	5	1	0	2	84	11	14	11	3	11	0	14	4	62	2	8	2	3	2	11	0	1	2	339	2	1	1	1	4	3	0	11	100	1	3	2	3	0	0	4	4	1	3	1	5	7	0	0	9	16	2	1	7	0	3	1	4	2	2	1	1	2	1	1	0	12	5	0	2	54	3	2	1	0	1
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd1_GE1_1_12067"	911	5	124	16	93	19	2	361	12	100	1	88	1	89	4	1	0	2	82	11	11	12	2	9	0	19	3	55	0	13	2	2	5	9	0	1	2	347	2	1	1	0	4	3	3	12	100	1	3	3	3	0	0	3	5	0	4	1	4	4	0	0	12	13	3	1	7	1	7	2	3	3	3	1	0	2	1	2	1	14	3	0	3	57	5	2	1	0	1
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd2_RD2_1_11953"	1042	8	134	22	108	19	3	406	11	123	1	106	2	99	6	1	1	3	85	12	17	12	2	11	1	16	6	66	1	13	2	3	5	8	0	1	3	390	3	1	0	2	4	3	3	11	123	1	3	5	3	0	0	6	5	1	5	1	3	9	0	0	13	16	3	1	7	0	7	2	4	2	5	2	0	3	2	3	0	15	3	0	5	65	5	2	1	0	0
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd3_GC3_1_12047"	1072	6	129	24	115	17	2	431	13	123	1	100	2	109	5	1	0	2	82	14	17	8	3	11	1	18	6	67	2	16	3	3	2	8	0	1	2	415	4	0	1	2	3	4	2	13	123	1	3	2	2	0	1	3	5	1	4	1	4	9	0	0	12	16	4	1	8	1	6	2	3	2	4	1	1	4	2	3	1	17	5	0	4	71	5	2	1	0	0
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd4_BD1_1_12004"	959	6	130	20	99	14	1	370	12	111	1	100	1	94	4	1	1	2	83	12	14	12	2	12	0	14	3	66	1	10	3	2	2	6	0	1	1	354	3	1	1	2	5	3	1	12	111	1	3	4	4	1	0	5	5	0	4	1	3	5	0	1	15	15	3	1	7	1	6	2	4	2	3	2	0	3	1	3	0	15	4	0	2	61	4	2	1	0	2
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd5_BD8_1_12014"	1021	7	122	23	108	19	3	399	13	125	1	102	2	97	5	1	1	1	80	13	11	12	3	9	1	19	3	70	0	13	3	2	2	10	0	2	3	378	3	1	1	2	6	5	3	13	125	1	3	3	5	0	1	6	5	1	4	1	2	7	0	0	14	14	2	1	7	1	6	2	4	3	5	1	1	3	2	3	0	15	2	0	3	64	5	2	1	1	1
"neg_DANCE_RDvsIR_2021_PG_Cenmel_Rd6_GB8_1_12044"	955	5	131	17	104	19	2	367	11	105	2	100	1	91	4	1	0	1	88	13	12	11	2	9	0	15	4	68	1	12	2	3	6	7	0	1	2	352	2	1	1	2	3	3	3	11	105	2	3	4	4	0	0	6	4	1	4	1	3	7	1	0	12	17	2	0	8	0	7	2	4	3	4	1	0	2	1	3	1	17	3	0	3	56	4	2	1	1	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Int1_GA2_1_12027"	567	2	81	13	47	14	1	207	5	81	3	45	1	67	1	0	1	3	59	7	4	6	0	5	0	10	1	32	0	2	0	0	7	6	0	1	1	200	1	1	1	1	3	0	0	5	81	3	1	1	1	0	2	2	1	1	1	0	3	8	0	0	5	8	1	0	3	0	0	1	1	1	1	1	0	2	1	0	0	4	0	0	1	58	3	0	0	0	1
"neg_DANCE_RDvsIR_2021_PG_Censet_Int2_GA6_1_12031"	482	2	72	11	39	15	2	182	5	69	2	35	0	48	2	0	0	2	53	6	4	6	0	5	0	9	1	27	0	1	1	1	7	5	0	1	2	176	1	1	0	1	3	0	0	5	69	2	0	1	0	0	2	2	1	0	1	0	2	5	0	0	4	7	1	1	2	0	0	1	1	1	1	1	0	1	0	0	0	4	0	0	1	41	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Int3_RA1_1_11922"	483	2	71	9	37	12	1	182	5	66	2	38	1	57	1	0	1	1	51	9	3	6	0	5	0	8	1	26	0	1	1	0	7	4	0	0	1	177	1	1	1	0	2	0	0	5	66	2	1	1	1	0	1	3	1	1	0	0	2	6	0	0	6	4	1	1	2	0	0	2	1	1	1	1	0	1	1	0	0	5	0	0	0	49	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Int4_GB2_1_12035"	478	2	71	6	43	11	1	188	3	65	3	35	1	49	1	0	1	1	52	7	3	6	0	3	0	10	2	28	1	1	1	0	6	4	0	0	1	181	1	1	0	1	2	2	0	3	65	3	1	1	0	0	3	4	1	1	1	0	1	4	0	0	4	7	1	0	1	0	0	1	1	1	0	1	0	1	1	0	0	5	0	0	0	42	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd1_BA3_1_11976"	552	2	82	15	48	13	1	202	5	81	3	41	2	57	1	0	1	0	61	6	5	8	0	8	0	10	1	32	1	1	1	1	5	5	0	1	1	194	1	1	1	2	3	0	0	5	81	3	1	1	0	0	1	2	0	1	1	0	2	7	0	0	5	9	1	0	1	0	0	3	1	1	1	1	0	2	2	0	0	4	0	0	0	50	3	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd2_RA2_1_11923"	508	2	69	14	43	10	2	196	4	75	2	38	1	52	1	0	1	2	50	6	4	6	0	7	1	12	2	26	0	2	0	0	5	4	0	1	2	189	1	1	1	1	3	0	0	4	75	2	1	1	0	0	3	3	0	1	0	0	1	6	0	0	4	9	1	1	3	0	0	1	0	0	1	1	0	1	1	0	0	4	0	0	0	46	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd3_BD2_1_12005"	449	2	68	9	36	11	1	174	4	65	3	33	1	42	1	0	1	1	48	7	3	8	0	4	0	11	1	20	1	1	1	1	5	4	0	0	1	167	1	1	1	1	3	0	0	4	65	3	1	1	0	0	1	5	1	0	1	0	2	4	0	0	4	5	1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	2	0	0	0	36	2	0	0	0	2
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd4_GC1_1_12045"	412	1	63	6	34	12	1	158	4	57	2	30	0	44	1	0	0	1	46	4	2	8	0	3	0	6	2	23	0	1	2	1	6	3	0	0	1	152	1	1	0	1	3	0	0	4	57	2	1	0	0	0	2	5	1	1	0	0	1	3	0	0	4	4	1	0	2	0	0	1	1	1	0	1	0	1	0	0	0	2	0	0	1	39	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Censet_Rd5_BA2_1_11975"	428	1	57	9	39	11	1	160	5	61	3	29	1	51	1	0	0	0	42	5	3	5	0	5	0	7	2	28	0	1	2	1	5	3	0	0	1	153	1	1	0	2	2	1	0	5	61	3	1	1	0	0	2	4	1	0	2	0	2	4	0	0	3	2	1	1	2	0	0	0	1	0	0	1	0	1	1	0	0	4	0	0	0	45	2	0	0	0	0
"neg_DANCE_RDvsIR_2021_PG_Esccal_Int1_RD1_1_11952"	522	4	82	13	36	10	4	183	6	59	1	59	1	64	4	0	0	1	59	5	5	7	1	4	0	14	2	17	0	2	2	1	2	4	0	1	4	175	2	1	0	1	2	2	0	6	59	1	0	5	1	0	2	7	0	1	2	0	2	4	0	3	9	10	4	1	3	0	0	1	1	0	2	0	0	1	1	2	0	7	1	0	1	48	2	1	0	0	2
