"frequency"
"Alkaloids; Lysine alkaloids; Cyanogenic glycosides"	12
"Alkaloids; Lysine alkaloids; Ergot alkaloids"	7
"Alkaloids; Lysine alkaloids; Imidazole alkaloids"	40
"Alkaloids; Lysine alkaloids; Isoquinoline alkaloids"	31
"Alkaloids; Lysine alkaloids; Linear peptides"	2
"Alkaloids; Lysine alkaloids; Menthane monoterpenoids"	36
"Alkaloids; Lysine alkaloids; Monocyclic monoterpenoids"	6
"Alkaloids; Lysine alkaloids; N-acyl amines"	42
"Alkaloids; Lysine alkaloids; Phenylalanine-derived alkaloids"	10
"Alkaloids; Lysine alkaloids; Piperidine alkaloids"	358
"Alkaloids; Lysine alkaloids; Polyamines"	9
"Alkaloids; Lysine alkaloids; Pregnane steroids"	52
"Alkaloids; Lysine alkaloids; Pyridine alkaloids"	69
"Alkaloids; Lysine alkaloids; Pyrimidine nucleostides"	5
"Alkaloids; Lysine alkaloids; Pyrrolidine alkaloids"	25
"Alkaloids; Lysine alkaloids; Quinolizidine alkaloids"	354
"Alkaloids; Lysine alkaloids; Saxitoxins"	7
"Alkaloids; Lysine alkaloids; Simple amide alkaloids"	5
"Alkaloids; Lysine alkaloids; Steroidal alkaloids"	7
"Alkaloids; Lysine alkaloids; Thiodiketopiperazine alkaloids"	6
"Alkaloids; Lysine alkaloids; Tricyclic guanidine alkaloids"	39
"Alkaloids; Macrolides; Isoquinoline alkaloids"	11
"Alkaloids; Macrolides; Open-chain polyketides"	14
"Alkaloids; Mitomycin derivatives; Mitomycins"	36
"Alkaloids; Monoterpenoids; Phenylalanine-derived alkaloids"	6
"Alkaloids; Monoterpenoids; Pinane monoterpenoids"	56
"Alkaloids; Monoterpenoids; Piperidine alkaloids"	4
"Alkaloids; Monoterpenoids; Pyridine alkaloids"	6
"Alkaloids; Monoterpenoids; Terpenoid alkaloids"	2
"Alkaloids; Nicotinic acid alkaloids; Aminoacids"	3
"Alkaloids; Nicotinic acid alkaloids; Carboline alkaloids"	1
"Alkaloids; Nicotinic acid alkaloids; Dipeptides"	3
"Alkaloids; Nicotinic acid alkaloids; Phenazine alkaloids"	3
"Alkaloids; Nicotinic acid alkaloids; Phenylalanine-derived alkaloids"	3
"Alkaloids; Nicotinic acid alkaloids; pteridine alkaloids"	10
"Alkaloids; Nicotinic acid alkaloids; Purine alkaloids"	3
"Alkaloids; Nicotinic acid alkaloids; Pyridine alkaloids"	1146
"Alkaloids; Nicotinic acid alkaloids; Pyrimidine nucleostides"	1
"Alkaloids; Nicotinic acid alkaloids; Simple indole alkaloids"	31
"Alkaloids; Nucleosides; Dipeptides"	3
"Alkaloids; Nucleosides; Imidazole alkaloids"	13
"Alkaloids; Nucleosides; Polyamines"	9
"Alkaloids; Nucleosides; Purine alkaloids"	11
"Alkaloids; Nucleosides; Purine nucleostides"	72
"Alkaloids; Nucleosides; Pyrimidine nucleostides"	92
"Alkaloids; Nucleosides; Simple phenolic acids"	8
"Alkaloids; Nucleosides; Tripeptides"	8
"Alkaloids; Oligopeptides; Carboline alkaloids"	1
"Alkaloids; Oligopeptides; Cyclic peptides"	81
"Alkaloids; Oligopeptides; Imidazole alkaloids"	8
"Alkaloids; Oligopeptides; Linear peptides"	54
"Alkaloids; Oligopeptides; Open-chain polyketides"	2
"Alkaloids; Oligopeptides; Polyamines"	6
"Alkaloids; Oligopeptides; Purine alkaloids"	6
"Alkaloids; Oligopeptides; Pyridine alkaloids"	6
"Alkaloids; Ornithine alkaloids; Aminoacids"	8
"Alkaloids; Ornithine alkaloids; Ansa peptide alkaloids"	6
"Alkaloids; Ornithine alkaloids; Carboline alkaloids"	3
"Alkaloids; Ornithine alkaloids; Cyclic peptides"	29
"Alkaloids; Ornithine alkaloids; Dipeptides"	31
"Alkaloids; Ornithine alkaloids; Fatty alcohols"	10
"Alkaloids; Ornithine alkaloids; Imidazole alkaloids"	3
"Alkaloids; Ornithine alkaloids; Isoquinoline alkaloids"	1
"Alkaloids; Ornithine alkaloids; Phenylalanine-derived alkaloids"	2
"Alkaloids; Ornithine alkaloids; Piperidine alkaloids"	56
"Alkaloids; Ornithine alkaloids; Polyamines"	887
"Alkaloids; Ornithine alkaloids; Purine nucleostides"	3
"Alkaloids; Ornithine alkaloids; Pyridine alkaloids"	28
"Alkaloids; Ornithine alkaloids; Pyrimidine nucleostides"	4
"Alkaloids; Ornithine alkaloids; Pyrrolidine alkaloids"	20
"Alkaloids; Ornithine alkaloids; Pyrrolizidine alkaloids"	3
"Alkaloids; Ornithine alkaloids; Quinolizidine alkaloids"	1
"Alkaloids; Ornithine alkaloids; Tripeptides"	1
"Alkaloids; Ornithine alkaloids; Tropane alkaloids"	5
"Alkaloids; Peptide alkaloids; Aminoacids"	4
"Alkaloids; Peptide alkaloids; Cephalosporins"	17
"Alkaloids; Peptide alkaloids; Cyclic peptides"	17
"Alkaloids; Peptide alkaloids; Dipeptides"	5
"Alkaloids; Peptide alkaloids; Ergot alkaloids"	42
"Alkaloids; Peptide alkaloids; Indole diketopiperazine alkaloids L-Trp, L-Ala"	13
"Alkaloids; Peptide alkaloids; Mycosporine and Mycosporine-like amino acids"	27
"Alkaloids; Peptide alkaloids; Phenylethylamines"	19
"Alkaloids; Peptide alkaloids; Pyridine alkaloids"	4
"Alkaloids; Peptide alkaloids; Simple amide alkaloids"	117
"Alkaloids; Peptide alkaloids; Simple diketopiperazine alkaloids"	23
